CD_Rank,College_Name,College_URL,Location,Approvals,NAAC_Grade,First_Year_Fees,Avg_Package,Highest_Package,Rating,Reviews,National_Ranking,college_code,Match_Score
#109,"Sri Sairam College of Engineering, Bangalore",https://collegedunia.com/college/15120-sri-sairam-college-of-engineering-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,,450000.0,1600000.0,3.7,"Based on 48 User
Reviews",88.0,E086,100
#110,"University of Mysore - [UOM], Mysore",https://collegedunia.com/university/25618-university-of-mysore-uom-mysore,"Mysore, Karnataka","UGC, AIU Approved",A,,,,3.8,"Based on 636 User
Reviews",,E283,100
#111,"Government Engineering College - [GEC], Raichur",https://collegedunia.com/college/59505-government-engineering-college-gec-raichur,"Raichur, Karnataka",AICTE Approved,,176800.0,,,4.3,"Based on 5 User
Reviews",,E162,100
#112,"East West College of Engineering - [EWCE], Bangalore",https://collegedunia.com/college/56384-east-west-college-of-engineering-ewce-bangalore,"Bangalore, Karnataka",AICTE Approved,,1100000.0,,,3.9,"Based on 75 User
Reviews",,E239,100
#113,"Srinivas Institute of Technology - [SIT] Volachil, Mangalore",https://collegedunia.com/college/15297-srinivas-institute-of-technology-sit-volachil-mangalore,"Mangalore, Karnataka",AICTE Approved,A,800000.0,,,3.8,"Based on 94 User
Reviews",,E144,100
#114,"Government Engineering College - [GEC], Chamarajnagar",https://collegedunia.com/college/56820-government-engineering-college-gec-chamarajnagar,"Chamarajnagar, Karnataka",AICTE Approved,,176800.0,,,3.1,"Based on 6 User
Reviews",,E154,100
#115,"Bheemanna Khandre Institute of Technology - [BKIT], Bhalki",https://collegedunia.com/college/13070-bheemanna-khandre-institute-of-technology-bkit-bhalki,"Bhalki, Karnataka","AICTE, NBA Approved",B++,529640.0,,,3.6,"Based on 26 User
Reviews",,E043,100
#116,"Rajeev Institute of Technology - [RIT], Hassan",https://collegedunia.com/college/14726-rajeev-institute-of-technology-rit-hassan,"Hassan, Karnataka","AICTE, NBA Approved",A,880000.0,450000.0,1200000.0,3.7,"Based on 27 User
Reviews",276.0,E177,100
#117,"Cambridge Institute of Technology North Campus, Bangalore",https://collegedunia.com/college/64487-cambridge-institute-of-technology-north-campus-bangalore,"Bangalore, Karnataka",AICTE Approved,A+,1204400.0,5350000.0,,4.0,"Based on 13 User
Reviews",46.0,E008,100
#118,"Rao Bahadur Y Mahabaleshwarappa Engineering College - [RYMEC], Bellary",https://collegedunia.com/college/56056-rao-bahadur-y-mahabaleshwarappa-engineering-college-rymec-bellary,"Bellary, Karnataka","AICTE, NBA Approved",A+,944440.0,1550000.0,,3.7,"Based on 37 User
Reviews",139.0,E045,100
#119,"Rajiv Gandhi Institute of Technology - [RGIT], Bangalore",https://collegedunia.com/college/14736-rajiv-gandhi-institute-of-technology-rgit-bangalore,"Bangalore, Karnataka",AICTE Approved,,684444.0,400000.0,800000.0,2.9,"Based on 34 User
Reviews",,E008,100
#120,"Khaja Bandanawaz University - [KBNU], Gulbarga",https://collegedunia.com/university/59978-khaja-bandanawaz-university-kbnu-gulbarga,"Gulbarga, Karnataka","NCTE, AICTE, BCI, UGC, AIU Approved",,576000.0,,,3.7,"Based on 9 User
Reviews",,E042,100
#121,"KNS Institute of Technology - [KNSIT], Bangalore",https://collegedunia.com/college/13936-kns-institute-of-technology-knsit-bangalore,"Bangalore, Karnataka",AICTE Approved,,744000.0,3000000.0,,3.6,"Based on 46 User
Reviews",,E008,100
#122,"Government Engineering College - [GEC], Haveri",https://collegedunia.com/college/56736-government-engineering-college-gec-haveri,"Haveri, Karnataka",AICTE Approved,,176800.0,,,4.1,"Based on 14 User
Reviews",,E163,100
#123,"Hirasugar Institute of Technology - [HIT], Belgaum",https://collegedunia.com/college/13729-hirasugar-institute-of-technology-hit-belgaum,"Belgaum, Karnataka","AICTE, UGC, NBA Approved",A+,449640.0,344000.0,432000.0,3.7,"Based on 10 User
Reviews",,E040,100
#124,"Bangalore Technological Institute - [BTI], Bangalore",https://collegedunia.com/college/28434-bangalore-technological-institute-bti-bangalore,"Bangalore, Karnataka",AICTE Approved,,730000.0,1200000.0,,3.3,"Based on 14 User
Reviews",,E204,100
#125,"Government Engineering College - [GECR], Ramanagar",https://collegedunia.com/college/59502-government-engineering-college-gecr-ramanagar,"Ramanagar, Karnataka",AICTE Approved,,176800.0,,,3.1,"Based on 13 User
Reviews",,E157,100
#126,"Jain Institute of Technology - [JIT], Davanagere",https://collegedunia.com/college/18174-jain-institute-of-technology-jit-davanagere,"Davanagere, Karnataka",AICTE Approved,A+,695744.0,301000.0,900000.0,3.8,"Based on 32 User
Reviews",,E211,100
#127,"KCT Engineering College, Gulbarga",https://collegedunia.com/college/59499-kct-engineering-college-gulbarga,"Gulbarga, Karnataka",AICTE Approved,,449640.0,,,2.4,"Based on 10 User
Reviews",,E119,100
#128,"Gopalan College of Engineering and Management - [GCEM], Bangalore",https://collegedunia.com/college/13580-gopalan-college-of-engineering-and-management-gcem-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B+,880000.0,450000.0,1400000.0,3.8,"Based on 31 User
Reviews",219.0,E201,100
#129,"Kalpataru Institute of Technology - [KIT], Tiptur",https://collegedunia.com/college/13963-kalpataru-institute-of-technology-kit-tiptur,"Tiptur, Karnataka","AICTE, NBA Approved",B+,880000.0,800000.0,,4.0,"Based on 45 User
Reviews",,E018,100
#130,"K.S. School of Engineering and Management- [KSSEM], Bangalore",https://collegedunia.com/college/28623-ks-school-of-engineering-and-management-kssem-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B++,880000.0,500000.0,1100000.0,3.8,"Based on 49 User
Reviews",,E203,100
#131,"RR Institute of Technology - [RRIT], Bangalore",https://collegedunia.com/college/14668-rr-institute-of-technology-rrit-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,880000.0,,,3.6,"Based on 36 User
Reviews",276.0,E008,100
#132,"Angadi Institute of Technology and Management - [AITM], Belgaum",https://collegedunia.com/college/12821-angadi-institute-of-technology-and-management-aitm-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",B+,876552.0,500000.0,,3.9,"Based on 22 User
Reviews",,E185,100
#133,"T John Institute of Technology - [TJIT], Bangalore",https://collegedunia.com/college/15413-t-john-institute-of-technology-tjit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,1200000.0,,,3.7,"Based on 34 User
Reviews",217.0,E008,100
#134,"Coorg Institute of Technology - [CIT], Kodagu",https://collegedunia.com/college/13277-coorg-institute-of-technology-cit-kodagu,"Kodagu, Karnataka",AICTE Approved,,880000.0,240000.0,420000.0,3.5,"Based on 14 User
Reviews",,E094,100
#135,"Sri Krishna Institute of Technology - [SKIT], Bangalore",https://collegedunia.com/college/15226-sri-krishna-institute-of-technology-skit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B,744000.0,1225000.0,,3.5,"Based on 49 User
Reviews",,E008,100
#136,"Tontadarya College of Engineering, Gadag",https://collegedunia.com/college/15484-tontadarya-college-of-engineering-gadag,"Gadag, Karnataka","AICTE, NBA Approved",B,449640.0,350000.0,900000.0,4.0,"Based on 16 User
Reviews",,E028,100
#137,"Dr MV Shetty Institute of Technology - [MVSIT], Mangalore",https://collegedunia.com/college/13392-dr-mv-shetty-institute-of-technology-mvsit-mangalore,"Mangalore, Karnataka",AICTE Approved,,449640.0,,,3.8,"Based on 1 User
Reviews",,E216,100
#138,"Government Engineering college - [GECK], Kodagu",https://collegedunia.com/college/56745-government-engineering-college-geck-kodagu,"Kodagu, Karnataka",AICTE Approved,,176800.0,,,3.1,"Based on 7 User
Reviews",,E161,100
#139,"Godutai Engineering College for Women - [GECW], Gulbarga",https://collegedunia.com/college/58951-godutai-engineering-college-for-women-gecw-gulbarga,"Gulbarga, Karnataka",AICTE Approved,,386000.0,,,3.5,"Based on 2 User
Reviews",,E198,100
#140,"Brindavan College of Engineering - [BCE], Bangalore",https://collegedunia.com/college/13112-brindavan-college-of-engineering-bce-bangalore,"Bangalore, Karnataka",AICTE Approved,A,1124000.0,620000.0,950000.0,3.5,"Based on 37 User
Reviews",,E171,100
#141,"AGM Rural College of Engineering and Technology - [GMRCET], Hubli",https://collegedunia.com/college/28362-agm-rural-college-of-engineering-and-technology-gmrcet-hubli,"Hubli, Karnataka",AICTE Approved,,878480.0,1000000.0,,3.9,"Based on 10 User
Reviews",,E199,100
#142,"City Engineering College - [CEC], Bangalore",https://collegedunia.com/college/13230-city-engineering-college-cec-bangalore,"Bangalore, Karnataka",AICTE Approved,B+,966884.0,400000.0,1440000.0,3.3,"Based on 57 User
Reviews",,E109,100
#143,"Proudhadeveraya Institute of Technology - [PDIT], Hospet",https://collegedunia.com/college/14615-proudhadeveraya-institute-of-technology-pdit-hospet,"Hospet, Karnataka",AICTE Approved,B+,720000.0,,,3.7,"Based on 28 User
Reviews",,E076,100
#144,"Sambhram Institute of Technology - [SAIT], Bangalore",https://collegedunia.com/college/14909-sambhram-institute-of-technology-sait-bangalore,"Bangalore, Karnataka",AICTE Approved,,409640.0,2000000.0,,3.6,"Based on 97 User
Reviews",224.0,E008,100
#145,"Sri Taralabalu Jagadguru Institute of Technology - [STJIT], Haveri",https://collegedunia.com/college/15273-sri-taralabalu-jagadguru-institute-of-technology-stjit-haveri,"Haveri, Karnataka",AICTE Approved,,400000.0,,,3.6,"Based on 18 User
Reviews",,E033,100
#146,"SEA College of Engineering and Technology - [SEACET], Bangalore",https://collegedunia.com/college/14821-sea-college-of-engineering-and-technology-seacet-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B++,880000.0,420000.0,,3.5,"Based on 40 User
Reviews",,E088,100
#147,"Mysore College of Engineering & Management - [MYCEM], Mysore",https://collegedunia.com/college/57906-mysore-college-of-engineering-and-management-mycem-mysore,"Mysore, Karnataka",AICTE Approved,,756768.0,,,3.1,"Based on 7 User
Reviews",,E252,100
#148,"Government Engineering College - [GEC], Karwar",https://collegedunia.com/college/59501-government-engineering-college-gec-karwar,"Karwar, Karnataka",AICTE Approved,,176800.0,,,4.2,"Based on 7 User
Reviews",,E002,100
#149,"Maratha Mandal Engineering College - [MMEC], Belgaum",https://collegedunia.com/college/14280-maratha-mandal-engineering-college-mmec-belgaum,"Belgaum, Karnataka",AICTE Approved,,449640.0,400000.0,1000000.0,3.0,"Based on 9 User
Reviews",,E029,100
#150,"Bahubali College of Engineering - [BCE], Hassan",https://collegedunia.com/college/12976-bahubali-college-of-engineering-bce-hassan,"Hassan, Karnataka",AICTE Approved,,449640.0,,,3.7,"Based on 12 User
Reviews",,E070,100
